id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
9655.0,en,She's the Man,26.469,2006-03-17,6.8,2345.0,"['Comedy', 'Drama', 'Family', 'Romance']","Viola Hastings is in a real jam. Complications threaten her scheme to pose as her twin brother, Sebastian, and take his place at a new boarding school. She falls in love with her handsome roommate, Duke, who loves beautiful Olivia, who has fallen for Sebastian! As if that were not enough, Viola's twin returns from London ahead of schedule but has no idea that his sister has already replaced him on campus.",33889159.0,105.0,"If you wanna chase your dream, sometimes you gotta break the rules."
297580.0,en,Day of the Mummy,10.014,2014-10-20,5.0,28.0,"['Adventure', 'Horror', 'Action']","Welcome to Egypt, land of the Pharaohs. A place steeped in history and legend; Gods and spiritual guides; untold wealth – and the bone-cracking, blood-spilling guardians of its riches.  Jack Wells has arrived in Egypt in search of the famous diamond known as The Codex Stone. His journey leads him to the tomb of the cursed King Neferu, cursed not by name but by nature. With his centuries-old slumber disturbed by timeless human greed, the King rises from the dead with a blood-lust that cannot be quenched and a raging fury that will shred flesh from bone, bringing terrible and tormented death to all who dare witness the Day of the Mummy.",0.0,76.0,An ancient evil has been unleashed
537116.0,en,"tick, tick...BOOM!",35.904,2021-11-11,2.0,1.0,"['Music', 'Drama']","On the cusp of his 30th birthday, a promising young theater composer navigates love, friendship, and the pressures to create something great before time runs out.",0.0,115.0,How much time do we have to do something great?
1891.0,en,The Empire Strikes Back,23.967,1980-05-20,8.4,13506.0,"['Adventure', 'Action', 'Science Fiction']","The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",538400000.0,124.0,The Adventure Continues...
226857.0,en,Endless Love,21.538,2014-02-12,6.9,1412.0,"['Drama', 'Romance']",A privileged girl and a charismatic boy's instant desire sparks a love affair made only more reckless by parents trying to keep them apart.,34077920.0,103.0,Say Goodbye To Innocence
484718.0,en,Coming 2 America,83.631,2021-03-05,6.7,1612.0,['Comedy'],"Prince Akeem Joffer is set to become King of Zamunda when he discovers he has a son he never knew about in America – a street savvy Queens native named Lavelle. Honoring his royal father's dying wish to groom this son as the crown prince, Akeem and Semmi set off to America once again.",0.0,110.0,A sequel is in the heir.
11351.0,en,Jeepers Creepers 2,60.188,2003-08-08,6.0,1121.0,['Horror'],"When their bus is crippled on the side of a deserted road, a team of high school athletes discover an opponent they cannot defeat – and may not survive. Staring hungrily at them through the school bus windows, the ""Creeper"" returns again and again. But when the teammates discover that it’s selective about whom it attacks, it will test their ability to stick together – as the insatiable menace tries to tear them apart!",63102666.0,104.0,He can taste your fear.
328252.0,es,Sweet Home,10.555,2015-05-08,4.9,100.0,['Horror'],A couple decides to spend a romantic evening in a floor of a semi-abandoned building that slip because she works as a consultant for the council house and got the keys. During the evening they discover that a hooded murderer is the only tenant left in the building...and they have become the new target.,0.0,80.0,Wish you stayed at home
425972.0,en,Cargo,20.259,2017-10-06,6.4,1314.0,"['Drama', 'Thriller', 'Adventure', 'Horror']","After being infected in the wake of a violent pandemic and with only 48 hours to live, a father struggles to find a new home for his baby daughter.",56385.0,105.0,The future is fragile.
177677.0,en,Mission: Impossible - Rogue Nation,39.002,2015-07-23,7.2,6986.0,"['Action', 'Adventure']","Ethan and team take on their most impossible mission yet—eradicating 'The Syndicate', an International and highly-skilled rogue organisation committed to destroying the IMF.",682330139.0,131.0,Desperate Times. Desperate Measures.
52520.0,en,Underworld: Awakening,69.313,2012-01-19,6.3,3333.0,"['Fantasy', 'Action', 'Horror']","Having escaped years of imprisonment, vampire warrioress Selene finds herself in a changed world where humans have discovered the existence of both Vampire and Lycan clans and are conducting an all-out war to eradicate both immortal species. Now Selene must battle the humans and a frightening new breed of super Lycans to ensure the death dealers' survival.",160112671.0,88.0,Vengeance Returns
263109.0,en,Shaun the Sheep Movie,23.22,2015-02-05,7.0,1065.0,"['Family', 'Animation', 'Comedy', 'Adventure']","When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home.",106209378.0,85.0,Moving on to Pastures New.
9654.0,en,The Italian Job,32.737,2003-05-30,6.7,4330.0,"['Action', 'Crime']","Charlie Croker pulled off the crime of a lifetime. The one thing that he didn't plan on was being double-crossed. Along with a drop-dead gorgeous safecracker, Croker and his team take off to re-steal the loot and end up in a pulse-pounding, pedal-to-the-metal chase that careens up, down, above and below the streets of Los Angeles.",176070171.0,110.0,Get in. Get out. Get even.
11864.0,en,Enemy Mine,13.745,1985-12-12,6.9,654.0,"['Drama', 'Science Fiction']","A soldier from Earth crashlands on an alien world after sustaining battle damage. Eventually he encounters another survivor, but from the enemy species he was fighting; they band together to survive on this hostile world. In the end the human finds himself caring for his enemy in a completely unexpected way.",12303411.0,108.0,Enemies because they were taught to be. Survivors because they had to be.
14289.0,en,Fire Down Below,9.494,1997-09-05,5.6,254.0,"['Action', 'Adventure', 'Crime', 'Thriller', 'Drama']","When an EPA representative is murdered in a small Appalachian community, EPA undercover agent Jack Taggart is sent in—posing as a handyman working with a Christian relief agency—to determine what happened.",16228448.0,105.0,Beneath a land of wealth and beauty hides a secret that could kill millions. Undercover has never run so deep.
334074.0,en,Survivor,25.048,2015-05-21,5.6,815.0,"['Crime', 'Action', 'Thriller']","A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York, but is forced to go on the run when she is framed for crimes she did not commit.",0.0,96.0,His next target is now hunting him
10052.0,en,Dragonfly,11.948,2002-02-22,6.5,644.0,"['Drama', 'Thriller', 'Horror']",A grieving doctor is being contacted by his late wife through his patient's near death experiences.,52322400.0,104.0,When someone you love dies... are they gone forever?
747.0,en,Shaun of the Dead,30.305,2004-04-09,7.5,6530.0,"['Horror', 'Comedy']","Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.",30332385.0,99.0,A romantic comedy. With zombies.
416153.0,en,Arctic Dogs,13.0,2019-11-01,6.2,89.0,"['Animation', 'Adventure', 'Comedy']",Animals band together to save the day when the evil Otto Von Walrus hatches a sinister scheme to accelerate global warming and melt the Arctic Circle.,0.0,93.0,Time to run with the big dogs!
10651.0,en,The Dead Pool,19.235,1988-04-14,6.3,575.0,"['Action', 'Crime', 'Thriller']","Dirty Harry Callahan returns for his final film adventure. Together with his partner Al Quan, he must investigate the systematic murder of actors and musicians. By the time Harry learns that the murders are a part of a sick game to predict the deaths of celebrities before they happen, it may be too late...",37903295.0,91.0,Dirty Harry Just Learned A New Game.
45612.0,en,Source Code,49.997,2011-03-30,7.3,6534.0,"['Thriller', 'Science Fiction', 'Mystery']","When decorated soldier Captain Colter Stevens wakes up in the body of an unknown man, he discovers he's part of a mission to find the bomber of a Chicago commuter train.",147332697.0,94.0,Make Every Second Count
18222.0,en,Poison Ivy: The New Seduction,12.675,1997-10-20,4.9,62.0,"['Thriller', 'Romance', 'Drama']",A sinister seductress vows to destroy a suburban family.,0.0,93.0,All the rules are about to be broken.
